Word,Definition,Part of Speech,Synonyms,Antonyms
translate,Express the sense of (words or text) in another language,"verb, noun","interpret, convert",none
translation,The process of translating words or text from one language into another,"noun, verb","interpretation, conversion",none
transparent,Allowing light to pass through so that objects behind can be distinctly seen,adjective,"clear, see-through","opaque, cloudy"
transport,"Take or carry (people or goods) from one place to another by means of a vehicle, aircraft, or ship","verb, noun","carry, convey",none
transportation,The action of transporting someone or something or the process of being transported,"noun, verb",none,none
trap,"A device or enclosure designed to catch and retain animals, typically by allowing entry but not exit","noun, verb","snare, lure","release, free"
travel,"Make a journey, typically of some length or abroad","verb, noun","journey, voyage","stay, remain"
traveller,A person who is traveling or who often travels,"noun, verb","tourist, visitor","resident, homebody"
treat,Behave toward or deal with in a certain way,"verb, noun","handle, deal with","mistreat, ignore"
treatment,The manner in which someone behaves toward or deals with someone or something,"noun, verb","care, therapy","neglect, disregard"
tree,"A woody perennial plant, typically having a single stem or trunk growing to a considerable height and bearing lateral branches at some distance from the ground","noun, verb","plant, shrub",none
trend,A general direction in which something is developing or changing,"noun, verb","tendency, direction",none
trial,"A formal examination of evidence before a judge, and typically before a jury, in order to decide guilt in a case of criminal or civil proceedings","noun, verb","case, hearing",none
triangle,A plane figure with three straight sides and three angles,"noun, verb",three-sided figure,none
trick,A cunning or skillful act or scheme intended to deceive or outwit someone,"noun, verb","deception, ruse","honesty, sincerity"
trip,"A journey or excursion, especially for pleasure","noun, verb","journey, tour","stay, remain"
tropical,"Of, typical of, or peculiar to the tropics","adjective, noun","equatorial, hot",none
trouble,Difficulty or problems that cause distress or worry,"noun, verb","difficulty, problem","ease, peace"
trousers,"An outer garment covering the body from the waist to the ankles, with a separate part for each leg","noun, verb","pants, slacks",none
truck,"A large, heavy motor vehicle for transporting goods or troops","noun, verb","lorry, vehicle",none
TRUE,In accordance with fact or reality,"adjective, adverb","genuine, real","false, fake"
trust,"Firm belief in the reliability, truth, or ability of someone or something","noun, verb","faith, confidence","distrust, doubt"
truth,The quality or state of being true,"noun, verb","reality, fact","falsehood, lie"
try,Make an attempt or effort to do something,"verb, noun","attempt, endeavor","avoid, neglect"
try on,Put on an item of clothing to see if it fits or suits one,phrasal verb,"fit, check",none
try out,Test someone or something new to see if it is suitable or effective,phrasal verb,"test, audition",none
tube,"A long, hollow cylinder used to convey fluids or gases","noun, verb","pipe, cylinder",none
Tuesday,The day of the week before Wednesday and following Monday,noun,none,none
tune,"A melody, especially one which characterizes a certain piece of music","noun, verb","melody, song",none
tunnel,"An artificial underground passage, especially one built through a hill or under a building, road, or river","noun, verb","passage, underpass",none
turn,Move in a circular direction wholly or partly around an axis or point,"verb, noun","rotate, pivot","still, remain"
turn back,Go back in the direction from which you have come,phrasal verb,"go back, return","continue, proceed"
turn down,"Reject or refuse a proposal, offer, or request",phrasal verb,"decline, reject","accept, approve"
turn into,Become (something),phrasal verb,"become, change into","remain, stay"
turn off,"Stop the operation or flow of (something) by means of a valve, switch, or button",phrasal verb,"switch off, shut off","turn on, switch on"
turn on,Cause (a device) to operate by means of a switch or button,phrasal verb,"activate, switch on","deactivate, switch off"
turn out,Prove to be the case,phrasal verb,"prove, result",none
turn over,Move (something) so that it is in a different position or state,phrasal verb,"flip, rotate",none
turn round,Move so as to face in the opposite direction,phrasal verb,"reverse, turn back",none
turn to,Seek help or support from someone or something,phrasal verb,"seek, consult","ignore, avoid"
turn up,Appear or arrive unexpectedly,phrasal verb,"arrive, show up","disappear, vanish"
TV,A device that receives television signals and displays them on a screen,"noun, verb","television, telly",none
twelfth,Constituting number twelve in a sequence; 12th,"adjective, noun",12th,none
twelve,The number equivalent to the product of three and four; two more than ten; 12,"noun, adjective",dozen,none
twentieth,Constituting number twenty in a sequence; 20th,"adjective, noun",20th,none
twenty,The number equivalent to the product of four and five; ten more than ten; 20,"noun, adjective",score,none
twice,Two times; on two occasions,adverb,"doubly, twofold",once
twin,One of two children or animals born at the same birth,"noun, verb","duplicate, pair","single, individual"
twist,"Form into a bent, curling, or distorted shape","verb, noun","coil, curl","straighten, untwist"
twisted,Forced out of its natural or proper shape; crumpled,"adjective, verb","bent, contorted",straight
two,The number equivalent to the sum of one and one; one less than three; 2,"noun, adjective","pair, duo","one, single"
type,A category of people or things having common characteristics,"noun, verb","kind, sort",none
typical,Having the distinctive qualities of a particular type of person or thing,"adjective, noun","representative, characteristic","atypical, unusual"
typically,In most cases; usually,adverb,"usually, generally",untypically
tyre,"A rubber covering, typically inflated or surrounding an inflated inner tube, placed around a wheel to form a flexible contact with the road","noun, verb","tire, wheel",none
